,VAQUILLONAS270,VAQUILLONAS391,NOVILLITOS300,NOVILLITOS391,PERIODO_INICIO,YYYYMM
0,14,13,15,15,2014-01-31,201401
1,14,13,16,15,2014-02-28,201402
2,15,14,16,16,2014-03-31,201403
3,16,14,16,16,2014-04-30,201404
4,15,13,16,16,2014-05-31,201405
5,15,13,17,17,2014-06-30,201406
6,16,15,18,18,2014-07-31,201407
7,17,16,19,18,2014-08-31,201408
8,15,14,17,16,2014-09-30,201409
9,15,14,16,16,2014-10-31,201410
10,15,14,16,16,2014-11-30,201411
11,15,15,17,17,2014-12-31,201412
12,16,15,18,17,2015-01-31,201501
13,17,16,18,17,2015-02-28,201502
14,17,16,18,17,2015-03-31,201503
15,18,16,19,18,2015-04-30,201504
16,18,16,19,19,2015-05-31,201505
17,18,17,20,18,2015-06-30,201506
18,18,16,20,19,2015-07-31,201507
19,18,18,20,19,2015-08-31,201508
20,19,18,20,19,2015-09-30,201509
21,20,19,22,21,2015-10-31,201510
22,26,24,29,28,2015-11-30,201511
23,24,22,27,26,2015-12-31,201512
24,25,23,27,26,2016-01-31,201601
25,25,24,27,26,2016-02-29,201602
26,27,26,29,28,2016-03-31,201603
27,28,27,30,29,2016-04-30,201604
28,30,27,31,31,2016-05-31,201605
29,30,27,32,31,2016-06-30,201606
30,29,27,31,31,2016-07-31,201607
31,29,27,31,30,2016-08-31,201608
32,27,26,30,30,2016-09-30,201609
33,28,25,30,29,2016-10-31,201610
34,26,24,29,28,2016-11-30,201611
35,25,24,28,27,2016-12-31,201612
36,28,26,30,29,2017-01-31,201701
37,31,29,32,32,2017-02-28,201702
38,31,29,34,33,2017-03-31,201703
39,30,27,33,32,2017-04-30,201704
40,32,29,33,32,2017-05-31,201705
41,32,30,34,33,2017-06-30,201706
42,32,30,34,34,2017-07-31,201707
43,32,30,35,34,2017-08-31,201708
44,31,29,34,32,2017-09-30,201709
45,30,29,34,33,2017-10-31,201710
46,31,28,34,33,2017-11-30,201711
47,30,27,33,31,2017-12-31,201712
48,33,31,35,35,2018-01-31,201801
49,33,30,35,34,2018-02-28,201802
50,33,31,35,34,2018-03-31,201803
51,35,32,37,37,2018-04-30,201804
52,36,33,39,39,2018-05-31,201805
53,38,35,42,41,2018-06-30,201806
54,40,38,43,42,2018-07-31,201807
55,45,43,49,48,2018-08-31,201808
56,43,41,46,45,2018-09-30,201809
57,41,39,45,44,2018-10-31,201810
58,42,39,46,45,2018-11-30,201811
59,50,46,53,53,2018-12-31,201812
60,59,55,63,62,2019-01-31,201901
61,64,58,67,65,2019-02-28,201902
62,60,56,66,64,2019-03-31,201903
63,61,56,64,62,2019-04-30,201904
64,61,55,64,62,2019-05-31,201905
65,63,58,65,64,2019-06-30,201906
66,63,59,66,64,2019-07-31,201907
67,66,63,68,68,2019-08-31,201908
68,65,61,68,67,2019-09-30,201909
69,75,71,77,76,2019-10-31,201910
70,78,75,81,80,2019-11-30,201911
71,87,80,88,87,2019-12-31,201912
72,89,85,92,91,2020-01-31,202001
73,94,88,96,94,2020-02-29,202002
74,97,89,99,96,2020-03-31,202003
75,94,83,96,93,2020-04-30,202004
76,94,84,97,96,2020-05-31,202005
77,99,90,104,99,2020-06-30,202006
78,103,95,108,105,2020-07-31,202007
79,103,94,108,105,2020-08-31,202008
80,104,99,108,104,2020-09-30,202009
81,113,108,115,116,2020-10-31,202010
82,139,130,143,142,2020-11-30,202011
83,154,140,160,154,2020-12-31,202012
84,163,152,166,162,2021-01-31,202101
85,172,161,175,171,2021-02-28,202102
86,180,167,180,177,2021-03-31,202103
87,193,179,195,188,2021-04-30,202104
88,200,184,205,193,2021-05-31,202105
89,186,170,192,182,2021-06-30,202106
90,186,165,193,182,2021-07-31,202107
91,191,172,196,188,2021-08-31,202108
92,187,173,194,187,2021-09-30,202109
93,201,190,207,206,2021-10-31,202110
94,231,210,242,233,2021-11-30,202111
95,235,214,241,236,2021-12-31,202112
96,254,230,259,253,2022-01-31,202201
97,284,258,288,286,2022-02-28,202202
98,296,276,307,295,2022-03-31,202203
99,329,285,341,309,2022-04-30,202204
100,318,272,332,305,2022-05-31,202205
